ID,Tipo,SKU,"GTIN, UPC, EAN, ou ISBN",Nome,Publicado,"Em destaque?","Visibilidade no catálogo","Descrição curta",Descrição,"Data de preço promocional começa em","Data de preço promocional termina em","Status do imposto","Classe de imposto","Em estoque?",Estoque,"Quantidade baixa de estoque","São permitidas encomendas?","Vendido individualmente?","Peso (kg)","Comprimento (cm)","Largura (cm)","Altura (cm)","Permitir avaliações de clientes?","Observação de compra","Preço promocional",Preço,Categorias,Tags,"Classe de entrega",Imagens,"Limite de downloads","Dias para expirar o download",Ascendente,"Grupo de produtos",Upsells,"Venda cruzada","URL externa","Texto do botão",Posição,Marcas,"Nome do atributo 1","Valores do atributo 1","Visibilidade do atributo 1","Atributo global 1","Atributo padrão 1","Nome do atributo 2","Valores do atributo 2","Visibilidade do atributo 2","Atributo global 2"
1168,variable,,,"Uniforme Specialized Custom Fit Edição Limitada",1,0,visible,"Para maiores informações entre em contato em contato@powerhousebrasil.com","<img class=""alignnone wp-image-1536 size-full"" src=""https://powerhousebrasil.com.br/wp-content/uploads/2019/08/Uniforme-OCE-Specialized-cabuloso.png"" alt="""" width=""338"" height=""571"" />",,,taxable,,1,10,,0,0,1,24,10,35,0,,,,Vestuário,,,"https://powerhousebrasil.com.br/wp-content/uploads/2019/08/Uniforme-OCE-Specialized-cabuloso-e1574262170980.png, https://powerhousebrasil.com.br/wp-content/uploads/2019/08/Uniforme-OCE-Specialized-cabuloso-e1574262170980.png, https://powerhousebrasil.com.br/wp-content/uploads/2019/08/Foto-cortada-1.jpg",,,,,,,,,99,,Tamanho,"G, M, P",1,1,,,,,
1456,simple,,,"Polén protein Smoothie Frutas Vermelhas - 350g",1,0,visible,,"Na alquimia desenvolvida para pós-treino ou como lanche super nutritivo, associamos: o pólen, que é um dos alimentos naturais mais ricos em aminoácidos e essencial para o reparo muscular, regulador das funções intestinais, atuante no sistema imunológico; precisa combinação de frutas vermelhas ricas em antioxidantes e minerais essenciais à recuperação muscular; a eles foi associado o probiótico de nossa produção, o que contribui para a digestão e assimilação expandida de antioxidantes, além de proporcionar melhor e mais natural absorção dos alimentos que os contenham.
\n
\nTrata-se de um pós-treino original no mercado, capaz de repor proteínas de forma natural e completa, fortificadora do organismo e que utiliza elementos naturais, isentos de química e não refinados.",,,taxable,,1,60,,0,0,0.350,23,12,6,0,,,"213,50","Alquimia da Saúde, Destaque",,pac,"https://powerhousebrasil.com.br/wp-content/uploads/2020/01/2cfac5ed-1e0f-4046-ae0a-33751ea5853c.jpg, https://powerhousebrasil.com.br/wp-content/uploads/2020/01/43342122-11e9-4dea-a2f4-7d89838e6cb6.jpg",,,,,,,,,77,,,,,,,,,,
1459,simple,,,"Polén protein Smoothie Banana - 350g",1,0,visible,"Na alquimia desenvolvida para pós-treino ou como lanche super nutritivo, associamos: o pólen, que é um dos alimentos naturais mais ricos em aminoácidos e essencial para o reparo muscular, regulador das funções intestinais, atuante no sistema imunológico; o açaí liofilizado e a banana madura ricos em antioxidantes e minerais essenciais à recuperação muscular; a eles foi associado o probiótico de nossa produção, o que contribui para a digestão e assimilação expandida de antioxidantes, além de proporcionar melhor e mais natural absorção dos alimentos que os contenham.
\n
\nTrata-se de um pós-treino original no mercado, capaz de repor proteínas de forma natural e completa, fortificadora do organismo e que utiliza elementos naturais, isentos de química e não refinados.","Na alquimia desenvolvida para pós-treino ou como lanche super nutritivo, associamos: o pólen, que é um dos alimentos naturais mais ricos em aminoácidos e essencial para o reparo muscular, regulador das funções intestinais, atuante no sistema imunológico; o açaí liofilizado e a banana madura ricos em antioxidantes e minerais essenciais à recuperação muscular; a eles foi associado o probiótico de nossa produção, o que contribui para a digestão e assimilação expandida de antioxidantes, além de proporcionar melhor e mais natural absorção dos alimentos que os contenham.
\n
\nTrata-se de um pós-treino original no mercado, capaz de repor proteínas de forma natural e completa, fortificadora do organismo e que utiliza elementos naturais, isentos de química e não refinados.",,,taxable,,1,53,,0,0,0.350,23,12,6,0,,,"207,50",Destaque,,pac,"https://powerhousebrasil.com.br/wp-content/uploads/2020/01/ce6ac32d-5a0a-4cc3-be5a-87ecdd545017.jpg, https://powerhousebrasil.com.br/wp-content/uploads/2020/01/486b63cd-d12c-4861-b220-e0d6db529b64.jpg",,,,,,,,,76,,,,,,,,,,
1463,simple,,,"Palatinose em pó - Smart Carb 300g",1,0,visible,"Palatinose é a fonte de carboidrato mais eficiente para entregar energia à prática esportiva, cujo diferencial é o baixo índice glicêmico (32), sua rápida absorção e maior duração no organismo, o que proporciona energia equilibrada.
\n
\n&nbsp;
\n
\nSMART CARB recebe um aporte de vitamina C para a rápida recuperação rápida durante a atividade física.","Palatinose é a fonte de carboidrato mais eficiente para entregar energia à prática esportiva, cujo diferencial é o baixo índice glicêmico (32), sua rápida absorção e maior duração no organismo, o que proporciona energia equilibrada.
